,Kanton,Stadt,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,AG,Aarau,4657.0,5094.0,5401.0,5914.0,6699.0,7831.0,9593.0,10701.0,11666.0,12900.0,14280.0,17045.0,16881.0,15788.0,16481.0,15470.0
1,AG,Biberstein,761.0,668.0,633.0,608.0,594.0,651.0,657.0,637.0,549.0,565.0,652.0,785.0,823.0,889.0,1104.0,1101.0
2,AG,Buchs (AG) 1),935.0,993.0,1001.0,1047.0,1155.0,1592.0,1943.0,2231.0,2720.0,3255.0,3899.0,5734.0,6742.0,6029.0,5853.0,6175.0
3,AG,Densbüren,1167.0,1059.0,1078.0,1039.0,996.0,934.0,923.0,932.0,826.0,776.0,772.0,715.0,664.0,596.0,717.0,721.0
4,AG,Erlinsbach,930.0,932.0,933.0,1014.0,1059.0,1161.0,1357.0,1376.0,1383.0,1470.0,1679.0,1940.0,2690.0,3046.0,3281.0,3286.0
5,AG,Gränichen,3038.0,2683.0,2741.0,2775.0,2684.0,2771.0,2998.0,3139.0,3459.0,3543.0,3727.0,4411.0,5298.0,5246.0,5772.0,6115.0
6,AG,Hirschthal,581.0,535.0,526.0,508.0,484.0,522.0,584.0,572.0,609.0,662.0,684.0,743.0,878.0,949.0,1111.0,1177.0
7,AG,Küttigen,1847.0,1866.0,1817.0,1801.0,1885.0,2018.0,2167.0,2108.0,2053.0,2129.0,2508.0,3457.0,4181.0,4356.0,4781.0,5025.0
8,AG,Muhen,1288.0,1209.0,1276.0,1188.0,1153.0,1213.0,1392.0,1507.0,1732.0,1862.0,2046.0,2314.0,2462.0,2471.0,2663.0,3083.0
9,AG,Oberentfelden,1379.0,1287.0,1310.0,1336.0,1431.0,1523.0,1832.0,2023.0,2238.0,2381.0,2771.0,3548.0,5187.0,5696.0,6735.0,6740.0
10,AG,Rohr (AG) 1),389.0,400.0,424.0,458.0,483.0,595.0,781.0,901.0,950.0,1083.0,1480.0,2181.0,2459.0,2183.0,2391.0,2652.0
11,AG,Suhr,1422.0,1403.0,1425.0,1547.0,1574.0,1808.0,2192.0,2362.0,2671.0,3067.0,3737.0,6398.0,7223.0,7366.0,8059.0,8451.0
12,AG,Unterentfelden,699.0,633.0,649.0,717.0,694.0,726.0,874.0,873.0,912.0,946.0,1182.0,1981.0,3259.0,3190.0,3436.0,3195.0
13,AG,Baden 3),3159.0,3332.0,3786.0,4059.0,4215.0,6489.0,8732.0,9704.0,10624.0,10901.0,12127.0,14553.0,14115.0,13870.0,15718.0,16270.0
14,AG,Bellikon,440.0,440.0,455.0,419.0,376.0,377.0,337.0,340.0,376.0,387.0,434.0,426.0,627.0,905.0,1035.0,1303.0
15,AG,Bergdietikon,491.0,463.0,525.0,446.0,441.0,466.0,520.0,511.0,499.0,477.0,514.0,789.0,1077.0,1693.0,2194.0,2256.0
16,AG,Birmenstorf (AG),992.0,971.0,971.0,954.0,970.0,919.0,932.0,990.0,1069.0,1061.0,1197.0,1330.0,1390.0,1446.0,1953.0,2313.0
17,AG,Ennetbaden,451.0,527.0,523.0,600.0,639.0,997.0,1387.0,1647.0,2223.0,2305.0,2566.0,3042.0,3160.0,2602.0,2953.0,3019.0
18,AG,Fislisbach,685.0,678.0,700.0,667.0,645.0,676.0,799.0,996.0,1261.0,1238.0,1334.0,1774.0,3370.0,3860.0,4491.0,4974.0
19,AG,Freienwil,506.0,447.0,431.0,389.0,382.0,370.0,388.0,399.0,466.0,432.0,416.0,366.0,464.0,489.0,641.0,753.0
20,AG,Gebenstorf 4),1796.0,1768.0,2091.0,2435.0,1570.0,1574.0,1808.0,1892.0,1955.0,1886.0,2110.0,2728.0,3539.0,3610.0,4079.0,4182.0
21,AG,Killwangen,182.0,160.0,202.0,197.0,213.0,306.0,400.0,339.0,439.0,482.0,597.0,802.0,842.0,1041.0,1328.0,1377.0
22,AG,Künten,609.0,551.0,580.0,545.0,501.0,449.0,495.0,512.0,495.0,510.0,574.0,684.0,819.0,1114.0,1320.0,1486.0
23,AG,Mägenwil,511.0,491.0,552.0,525.0,444.0,450.0,555.0,563.0,573.0,583.0,633.0,700.0,760.0,943.0,1291.0,1551.0
24,AG,Mellingen,746.0,803.0,857.0,798.0,833.0,899.0,1216.0,1444.0,1538.0,1482.0,1634.0,1941.0,3211.0,3285.0,3827.0,4239.0
25,AG,Neuenhof,394.0,409.0,769.0,763.0,736.0,872.0,962.0,1043.0,1275.0,1311.0,1986.0,4433.0,7164.0,7203.0,7707.0,7613.0
26,AG,Niederrohrdorf 5),1646.0,530.0,579.0,689.0,625.0,631.0,690.0,743.0,895.0,929.0,1074.0,1469.0,2032.0,2424.0,2536.0,2443.0
27,AG,Oberehrendingen,553.0,545.0,586.0,521.0,459.0,657.0,654.0,705.0,810.0,779.0,884.0,1193.0,1497.0,1489.0,1597.0,1767.0
28,AG,Oberrohrdorf 5),0.0,594.0,625.0,687.0,615.0,625.0,601.0,661.0,772.0,748.0,815.0,921.0,1880.0,2863.0,3303.0,3364.0
29,AG,Obersiggenthal,1183.0,1128.0,1186.0,1166.0,1157.0,1504.0,1700.0,1799.0,2193.0,2340.0,2856.0,4508.0,6623.0,7442.0,7355.0,7561.0
30,AG,Remetschwil 5),0.0,575.0,604.0,567.0,537.0,482.0,464.0,486.0,489.0,506.0,490.0,469.0,629.0,796.0,1168.0,1759.0
